Filename,ClassId
07183,23
02031,5
03263,3
09567,14
08697,10
12448,15
11147,38
01223,14
01000,17
03576,8
12477,5
05903,11
10187,31
06872,38
09149,1
03375,13
00913,13
10008,33
06936,1
04896,1
06142,38
12203,5
12533,14
07344,9
00214,25
05087,1
01313,10
11480,38
09118,36
00039,8
00128,1
00902,38
01071,2
06514,12
02359,10
03655,5
11916,11
06668,10
07439,30
10696,12
12215,31
06880,2
06198,17
04293,35
00630,7
05399,9
02847,23
02661,15
09305,11
09440,5
09730,5
07226,38
06064,38
09205,10
02006,17
01784,35
12261,17
07244,9
06076,4
00618,10
01592,17
07760,31
07995,8
08544,39
03053,38
04551,25
01247,2
04186,25
01277,12
12439,5
03137,11
00304,8
04916,17
11105,12
12288,2
01353,8
02409,8
07014,35
07276,1
10878,18
09294,4
11044,31
09726,18
07286,18
05274,31
04061,9
10089,11
09995,4
07426,8
12010,13
09107,15
05329,25
06015,5
02186,14
11858,33
11181,9
01972,5
10241,9
01095,39
05743,31
12453,5
06447,17
08574,25
06163,2
05373,1
10308,8
04364,11
08743,17
05114,35
05374,9
09108,25
03711,2
01230,5
12497,38
00389,10
00566,10
12124,1
02880,39
03747,12
06526,12
10968,30
04549,27
01892,1
09747,1
10223,28
03742,25
00044,24
01265,38
07797,18
08968,6
11605,13
05526,11
03202,1
11126,18
05498,26
06699,5
01498,2
00177,40
03596,38
01641,13
12211,28
00414,22
09508,1
06608,10
00033,23
00589,5
11506,1
03928,7
06156,18
09694,9
01216,13
06707,1
07231,22
10531,2
02351,33
01456,38
08318,9
05279,4
05388,14
11495,30
05240,4
09058,9
10097,5
08681,13
08746,18
04740,13
11767,5
08381,8
08228,20
02024,1
06475,4
12372,2
12498,32
05308,2
12225,9
04736,17
11079,26
05644,31
01092,1
06203,14
05635,17
01373,32
11467,2
12359,13
10457,12
09504,38
00486,12
12569,11
03174,35
07030,31
00558,13
03125,7
09518,4
02513,9
12606,38
09867,14
10720,2
01858,10
01030,18
07352,5
05672,4
01455,18
01064,12
06868,2
03938,32
00379,18
04422,2
08658,2
02478,12
05465,34
09689,4
10727,10
01260,5
08301,25
08028,3
02067,12
06363,5
09556,35
09322,18
12255,18
11046,3
04671,10
01148,7
00392,28
09919,10
10628,8
12421,22
08784,10
02913,25
05041,5
01747,13
01143,15
03828,5
07001,8
02930,0
02196,5
12522,18
06502,4
09896,13
04704,1
11846,15
06149,18
05242,38
10467,3
05562,25
02106,7
02434,2
02251,4
09193,38
02113,5
05620,25
02387,25
07228,13
10044,10
02674,12
08917,36
01711,1
10053,25
10686,25
04126,14
06129,38
04554,9
04279,17
03092,33
11218,11
02391,1
07696,12
05393,18
05707,38
10182,38
02545,13
04880,18
06358,14
03690,18
10224,10
02276,25
11012,25
03456,35
08214,9
01885,1
04255,12
08243,7
10684,13
04854,25
11728,12
01191,2
07835,2
11679,36
04674,9
12020,7
09649,4
01072,5
01274,42
01833,16
09804,22
03652,17
10608,8
08145,9
01341,9
04526,12
05492,8
04707,38
10336,5
10161,8
05282,7
09699,11
11666,25
06218,4
03715,33
12297,31
07765,13
06414,31
04275,38
09044,4
03553,32
02735,13
03425,15
05507,1
03866,10
10691,20
04431,10
03160,31
00915,13
07265,12
05291,25
01922,5
04823,2
03429,35
04542,12
02533,1
03763,13
03675,22
06927,5
07739,28
08439,15
06474,35
00562,10
11142,4
12609,8
07877,37
08580,13
10226,1
10570,11
00300,12
01621,7
07087,8
00042,18
03287,4
01250,10
09379,33
00711,35
09220,38
06000,1
12200,18
00875,1
06481,13
02092,9
06942,5
07107,12
05063,36
04695,4
03979,35
06344,10
08244,13
06836,25
10071,4
06489,15
00556,13
04105,9
04342,36
03751,34
00293,35
05915,18
05120,10
00795,42
09492,25
12601,38
11138,7
05964,1
02822,35
00142,6
03086,3
11742,8
04611,33
08069,13
03366,5
09407,25
08625,34
01512,18
12360,2
04315,13
01381,9
11304,1
04097,38
09215,3
11198,18
07909,34
09558,12
08017,2
09561,5
02312,1
03232,11
04472,38
04151,12
00527,5
05501,10
07907,25
03973,36
07491,2
04452,31
11844,9
10777,13
10536,4
05729,5
09041,33
09782,4
07167,10
12104,12
10915,3
07563,25
07912,13
09838,2
02451,35
10085,34
05922,31
11070,9
02245,35
07064,11
03189,8
09007,10
06892,25
03832,41
03679,17
03575,8
07017,4
04042,17
10591,31
02078,38
01461,3
09550,29
09564,2
01426,10
02955,1
03975,1
00513,22
00209,15
06233,38
03270,11
04158,4
10402,10
11400,34
01981,17
07911,18
03974,12
12291,11
08752,9
03293,5
10212,10
08982,5
00198,11
11255,3
12293,31
00427,25
10034,25
12130,4
05294,11
04350,33
04967,5
04195,5
11839,1
03085,10
05341,25
11355,10
12223,31
01675,18
11279,12
04323,8
12286,8
05146,10
12153,8
04384,12
04147,10
05223,18
08801,17
08398,19
08737,4
07348,39
05228,26
02806,10
00816,11
